run_id,row_sample_id,measured_at,scenario,batch_size,total_candidate_count,foreground_candidate_count,analysis_unit_count,requested_text_count,backend_request_count,row_total_to_mask_ms,backend_roundtrip_ms,backend_internal_avg_ms,backend_model_avg_ms,candidate_collect_ms,parser_ms,pre_backend_ms,local_preflight_ms,decision_build_ms,mask_apply_ms,post_backend_to_mask_ms,first_mask_ms,amortized_total_ms_per_requested_text,latency_bucket,dominant_stage,dominant_stage_ms,worst_rank,is_absolute_worst,is_extreme_outlier,is_outlier_excluded_worst,is_recurring_slow_bucket,is_fast_or_cache_path,user_visible_latency_basis,throughput_note,raw_notes
chrome-10k-fixture-20260607T2314,1305,2026-06-07T23:20:19+09:00,profanity,16,20,8,8,8,2,74,71,8.139,7.793,2,,2,,,,,3,9.25,normal<=100ms,backend_roundtrip_ms,71.0,3607,no,no,no,no,no,total_to_mask_ms,8 requested texts in row; amortized=9.25ms/text,real Chrome unpacked extension content-script pipeline
chrome-10k-fixture-20260607T2314,1306,2026-06-07T23:20:19+09:00,bypass,4,9,8,8,5,1,51,50,12.551,12.304,1,,1,,,,,,10.2,normal<=100ms,backend_roundtrip_ms,50.0,7868,no,no,no,no,no,total_to_mask_ms,5 requested texts in row; amortized=10.20ms/text,real Chrome unpacked extension content-script pipeline
chrome-10k-fixture-20260607T2314,1307,2026-06-07T23:20:20+09:00,bypass,8,17,8,8,5,2,62,60,13.812,13.589,1,,1,,,,,,12.4,normal<=100ms,backend_roundtrip_ms,60.0,6036,no,no,no,no,no,total_to_mask_ms,5 requested texts in row; amortized=12.40ms/text,real Chrome unpacked extension content-script pipeline
chrome-10k-fixture-20260607T2314,1308,2026-06-07T23:20:20+09:00,bypass,16,19,8,8,5,2,58,56,13.299,13.027,2,,2,,,,,,11.6,normal<=100ms,backend_roundtrip_ms,56.0,6836,no,no,no,no,no,total_to_mask_ms,5 requested texts in row; amortized=11.60ms/text,real Chrome unpacked extension content-script pipeline
chrome-10k-fixture-20260607T2314,1309,2026-06-07T23:20:21+09:00,mixed,4,9,8,8,5,1,134,132,28.229,27.948,1,,1,,,,,,26.8,noticeable<=250ms,backend_roundtrip_ms,132.0,980,no,no,no,no,no,total_to_mask_ms,5 requested texts in row; amortized=26.80ms/text,real Chrome unpacked extension content-script pipeline
chrome-10k-fixture-20260607T2314,1310,2026-06-07T23:20:21+09:00,mixed,8,17,8,8,5,2,131,129,31.605,31.347,1,,2,,,,,,26.2,noticeable<=250ms,backend_roundtrip_ms,129.0,992,no,no,no,no,no,total_to_mask_ms,5 requested texts in row; amortized=26.20ms/text,real Chrome unpacked extension content-script pipeline
chrome-10k-fixture-20260607T2314,1311,2026-06-07T23:20:21+09:00,mixed,16,18,8,8,5,2,104,102,28.247,27.972,2,,3,,,,,,20.8,noticeable<=250ms,backend_roundtrip_ms,102.0,1229,no,no,no,no,no,total_to_mask_ms,5 requested texts in row; amortized=20.80ms/text,real Chrome unpacked extension content-script pipeline
chrome-10k-fixture-20260607T2314,1312,2026-06-07T23:20:22+09:00,search-result,4,10,8,8,5,2,80,79,25.295,25.027,1,,1,,,,,,16.0,normal<=100ms,backend_roundtrip_ms,79.0,2530,no,no,no,no,no,total_to_mask_ms,5 requested texts in row; amortized=16.00ms/text,real Chrome unpacked extension content-script pipeline
chrome-10k-fixture-20260607T2314,1313,2026-06-07T23:20:22+09:00,search-result,8,18,8,8,5,2,57,54,22.317,22.064,2,,3,,,,,,11.4,normal<=100ms,backend_roundtrip_ms,54.0,7026,no,no,no,no,no,total_to_mask_ms,5 requested texts in row; amortized=11.40ms/text,real Chrome unpacked extension content-script pipeline
chrome-10k-fixture-20260607T2314,1314,2026-06-07T23:20:22+09:00,search-result,16,20,8,8,5,2,72,70,24.149,23.878,1,,2,,,,,,14.4,normal<=100ms,backend_roundtrip_ms,70.0,3990,no,no,no,no,no,total_to_mask_ms,5 requested texts in row; amortized=14.40ms/text,real Chrome unpacked extension content-script pipeline
chrome-10k-fixture-20260607T2314,1315,2026-06-07T23:20:23+09:00,profanity,4,10,8,8,5,1,42,41,20.618,20.34,1,,1,,,,,1,8.4,fast<=50ms,backend_roundtrip_ms,41.0,8837,no,no,no,no,no,total_to_mask_ms,5 requested texts in row; amortized=8.40ms/text,real Chrome unpacked extension content-script pipeline
chrome-10k-fixture-20260607T2314,1316,2026-06-07T23:20:23+09:00,profanity,8,18,8,8,8,2,72,70,7.947,7.587,1,,2,,,,,2,9.0,normal<=100ms,backend_roundtrip_ms,70.0,3991,no,no,no,no,no,total_to_mask_ms,8 requested texts in row; amortized=9.00ms/text,real Chrome unpacked extension content-script pipeline
chrome-10k-fixture-20260607T2314,1317,2026-06-07T23:20:23+09:00,profanity,16,20,8,8,8,2,69,67,7.561,7.262,1,,2,,,,,2,8.62,normal<=100ms,backend_roundtrip_ms,67.0,4616,no,no,no,no,no,total_to_mask_ms,8 requested texts in row; amortized=8.62ms/text,real Chrome unpacked extension content-script pipeline
chrome-10k-fixture-20260607T2314,1318,2026-06-07T23:20:24+09:00,bypass,4,10,8,8,5,2,190,189,39.192,38.91,1,,1,,,,,,38.0,noticeable<=250ms,backend_roundtrip_ms,189.0,685,no,no,no,no,no,total_to_mask_ms,5 requested texts in row; amortized=38.00ms/text,real Chrome unpacked extension content-script pipeline
